TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection
25,1004,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
26,1005,-1,0.75,0.4,-1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
27,1005,0,0.6,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
28,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
29,1003,0.2,0.6,0.15,0.05,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
30,1003,-0.4,0.1,0.7,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
31,1005,0.2,0.5,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
32,1004,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
33,1005,0,0,0.65,0.35,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
34,1004,0,0,0.6,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
35,1004,0,0,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
36,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
37,1003,0.0,0.0,0.5,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
38,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
39,1005,-0.2,-0.7,-0.95,-0.01,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
40,1005,0,0,0,0.95,Type-4,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
41,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
42,1003,0,0.8,0.5,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
43,1004,0.3,0.4,0.9,0.0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
44,1004,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
45,1004,0,0,0.6,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
46,1005,-1,0.8,0.5,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
47,1004,-0.2,0.3,0.75,0.05,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
48,1004,0,0.45,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
49,1004,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
50,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
51,1004,0,0,0.5,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
52,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
53,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
54,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
55,1003,0.6,0.0,0.7,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
56,1005,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
57,1005,0,0.85,0.7,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
58,1005,-1.0,0.6,0.95,0.0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
59,1005,0,0,0.95,0.05,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
60,1005,-1,0.95,0.75,-1,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
61,1005,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
62,1005,-1.0,0.95,0.7,0.0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
63,1005,0,0,0.85,0.15,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
64,1004,0,0,0.2,0.95,Type-4,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
65,1005,0,0.3,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
66,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
67,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
68,1004,0.0,0.0,0.2,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
69,1005,-2.0,0.75,0.4,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
70,1005,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
71,1004,0,0,0.4,0.9,Type-4,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
72,1004,0,0,0.25,0.75,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
73,1004,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
74,1005,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
75,1003,0.4,0.6,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
76,1004,0,0,0,0.7,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
77,1004,0,0,0.6,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
78,1004,-1.0,0.4,0.6,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
79,1005,-0.3,0.05,0.8,-1.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
80,1005,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
81,1004,0.0,0.3,0.6,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
82,1004,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
83,1005,0,0,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
84,1005,-1,0.7,0.95,-1,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
85,1004,-1,0.6,0.4,-1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
86,1005,0,0,0.95,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
87,1005,0,0,0.9,0.1,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
88,1004,-1,-0.5,0.9,-1.0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
89,1003,-0.3,0.5,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
90,1004,-0.2,0.6,0.75,-0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
91,1005,0,0.5,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
92,1004,0,0.5,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
93,1004,0,0,0.6,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
94,1005,0,0.5,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
95,1003,0.1,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
96,1005,0,0,0.85,0.1,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
97,1005,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
98,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
99,1003,0.3,0.5,0.6,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
100,1005,0,0,1,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
101,1004,0,0,0.5,0.25,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
102,1005,0,0,0.75,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
103,1001,0.4,0,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
104,1005,-0.2,0.4,0.7,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
105,1004,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
106,1005,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
107,1004,0,0,0,0.5,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
108,1005,0,0,1,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
109,1005,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
110,1005,-1.0,0.9,0.7,0.0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
111,1005,0,1,0,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
112,1005,0,0.6,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
113,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
114,1005,0,0,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
115,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
116,1005,0,0.5,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
117,1004,0,0,0,0.95,Type-4,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
118,1005,0,0.6,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
119,1005,0,0,0.85,0.15,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
120,1005,0,0.2,0.5,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
121,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
122,1005,0,0,0.8,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
123,1003,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
124,1005,0,0,0,0.5,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
125,1003,0.2,0,0.7,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
126,1001,0,0.4,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
127,1005,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
128,1004,0,0,0.7,0.6,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
129,1005,0,0,0.8,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
130,1004,0,0,0,0.65,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
131,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
132,1004,0.2,0.2,0.4,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
133,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
134,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
135,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
136,1005,0,0.8,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
137,1001,0,0,0.4,0.6,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
138,1005,0,0,0,0.5,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
139,1005,0,0,1,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
140,1005,0,0,0.9,0.2,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
141,1005,0,0.3,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
142,1001,0.2,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
143,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
144,1005,-1,0.65,0.25,-1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
145,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
146,1004,0,0,0.75,0.25,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
147,1005,0,0.4,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
148,1005,0,0.7,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
149,1005,0,0,0.7,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
150,1005,0,0,0.5,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
151,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
152,1004,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
153,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
154,1005,0,0,0.75,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
155,1004,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
156,1004,0,0,0,0.5,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
157,1004,0,0,0,0.15,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
158,1005,0,0.65,0.85,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
159,1003,-1.0,0.0,0.85,0.0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
160,1005,0,0.6,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
161,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
162,1004,0.0,0.6,0.4,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
163,1004,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
164,1005,0,0,0.6,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
165,1005,0,0.6,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
166,1005,0.0,0.6,0.4,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
167,1005,0,0.7,0.8,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
168,1005,0,0.85,0.6,0.15,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
169,1004,0,0,0.6,0.4,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
170,1004,-1,-0.25,-0.75,-1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
171,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
172,1005,0,0,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
173,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
174,1005,0,0.3,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
175,1005,0,0,0.6,0.4,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
176,1004,0,0,0.45,0.15,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
177,1004,0,0,0.75,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
178,1005,0,0,0,0.6,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
179,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
180,1004,0,0,0.6,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
181,1005,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
182,1003,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
183,1003,0,0,0.7,0.15,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
184,1004,0,0,0.65,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
185,1004,-1.0,0.3,0.9,0.0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
186,1005,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
187,1005,0,0.3,0.85,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
188,1004,0,0,0.7,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
189,1005,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
190,1003,0,0.35,0.45,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
191,1005,0,0,0,0.6,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
192,1003,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
193,1005,0,0,0.8,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
194,1004,-2.0,0.9,0.2,0.0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
195,1004,0.2,0.5,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
196,1005,0,0.75,0.25,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
197,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
198,1003,0.8,0.6,0.4,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
199,1004,0,0,0.75,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
200,1004,0,0,0.7,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
201,1003,0,0.6,0.95,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
202,1005,-1,0.9,0.2,-1,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
203,1005,-1,0.95,0.8,0.1,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
204,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
205,1005,0,0.8,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
206,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
207,1005,0,0,1,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
208,1004,0,0,0.4,0.6,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
209,1004,0.1,0.6,0.3,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
210,1004,0,0,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
211,1005,0,0,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
212,1005,0.3,0.95,0.4,0.01,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
213,998,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
214,1005,0,0,0.75,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
215,1004,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
216,1004,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
217,1005,0,0.7,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
218,1005,0,0.8,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
219,1004,-1.0,0.4,0.9,-1.0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
220,1004,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
221,1004,0.2,0.6,0.7,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
222,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
223,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
224,1005,0.0,0.0,0.5,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
225,1005,0.2,0.3,0.8,0.05,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
226,1005,0,0,0.5,0.8,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
227,1005,0.3,0.7,0.6,0.05,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
228,1005,0,0,0.8,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
229,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
230,1001,0,0.3,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
231,1005,-1.0,0.9,0.6,0.0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
232,1005,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
233,1004,-1,0.4,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
234,1004,-0.2,0.3,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
235,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
236,1003,-2.0,0.0,0.0,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
237,1003,0,0.4,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
238,1005,-0.3,-0.5,0.6,-0.8,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
239,1004,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
240,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
241,1003,0.5,0.3,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
242,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
243,993,0.1,0.9,0,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
244,1005,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
245,1005,0,0.5,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
246,1005,0,0,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
247,1005,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
248,977,0,0.8,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
249,1004,0,0,0.4,0.6,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
250,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
251,1003,0.2,0.4,0.65,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
252,1004,0,0,0.95,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
253,1005,0,0.7,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
254,1004,0,0,0.5,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
255,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
256,1005,0,0.95,0.1,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
257,1003,0.5,0.8,0.6,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
258,1003,0.3,0.0,0.5,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
259,1004,0,0,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
260,1004,0,0,0.6,0.4,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
261,1005,0,0.95,0.1,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
262,1005,0.3,0.7,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
263,1005,0,0,0.75,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
264,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
265,1005,0,0,1,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
266,1004,0,0,0.7,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
267,1003,0.3,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
